,dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude,yearintcolumn
4764061,2012-01-01,8.261000000000001,0.3229999999999999,Memphis,United States,34.56N,89.51W,2012
4764073,2013-01-01,6.944000000000001,0.267,Memphis,United States,34.56N,89.51W,2013
4777502,2012-01-01,12.406,0.19,Mesa,United States,32.95N,112.02W,2012
4777514,2013-01-01,9.58,0.29,Mesa,United States,32.95N,112.02W,2013
4779827,2012-01-01,9.359,0.204,Mesquite,United States,32.95N,96.70W,2012
4779839,2013-01-01,8.597999999999999,0.253,Mesquite,United States,32.95N,96.70W,2013
4786133,2012-01-01,15.038,0.514,Metairie,United States,29.74N,90.46W,2012
4786145,2013-01-01,13.746,0.467,Metairie,United States,29.74N,90.46W,2013
4805314,2012-01-01,17.820999999999994,0.296,Miami,United States,26.52N,80.60W,2012
4805326,2013-01-01,20.774,0.144,Miami,United States,26.52N,80.60W,2013
4827930,2012-01-01,2.6700000000000004,0.727,Milwaukee,United States,42.59N,87.27W,2012
4827942,2013-01-01,1.056,0.528,Milwaukee,United States,42.59N,87.27W,2013
4839581,2012-01-01,-7.0920000000000005,0.332,Minneapolis,United States,45.81N,93.46W,2012
4839593,2013-01-01,-10.73,0.33,Minneapolis,United States,45.81N,93.46W,2013
4845887,2012-01-01,17.820999999999994,0.296,Miramar,United States,26.52N,80.60W,2012
4845899,2013-01-01,20.774,0.144,Miramar,United States,26.52N,80.60W,2013
4873214,2012-01-01,12.403,0.417,Mobile,United States,31.35N,88.59W,2012
4873226,2013-01-01,11.824000000000002,0.2019999999999999,Mobile,United States,31.35N,88.59W,2013
4880323,2012-01-01,6.318,0.4679999999999999,Modesto,United States,37.78N,120.00W,2012
4880335,2013-01-01,3.579,0.353,Modesto,United States,37.78N,120.00W,2013
4914608,2012-01-01,10.241,0.3279999999999999,Montgomery,United States,32.95N,87.13W,2012
4914620,2013-01-01,10.028,0.178,Montgomery,United States,32.95N,87.13W,2013
4940876,2012-01-01,10.093,0.38,Moreno Valley,United States,34.56N,116.76W,2012
4940888,2013-01-01,6.757000000000001,0.3979999999999999,Moreno Valley,United States,34.56N,116.76W,2013
5122362,2012-01-01,-1.106,0.385,Naperville,United States,40.99N,87.34W,2012
5122374,2013-01-01,-2.539,0.285,Naperville,United States,40.99N,87.34W,2013
5138116,2012-01-01,6.0950000000000015,0.362,Nashville,United States,36.17N,87.51W,2012
5138128,2013-01-01,4.823,0.36,Nashville,United States,36.17N,87.51W,2013
5200885,2012-01-01,2.603,0.409,New Haven,United States,40.99N,72.43W,2012
5200897,2013-01-01,0.939,0.153,New Haven,United States,40.99N,72.43W,2013
5203952,2012-01-01,15.038,0.514,New Orleans,United States,29.74N,90.46W,2012
5203964,2013-01-01,13.746,0.467,New Orleans,United States,29.74N,90.46W,2013
5207191,2012-01-01,-0.0409999999999999,0.493,New York,United States,40.99N,74.56W,2012
5207203,2013-01-01,-0.968,0.29,New York,United States,40.99N,74.56W,2013
